"Labor Force and Unemployment Data"

"Geographic Area:","County"
"Area","All Subsets for Selected Georgraphy"
"Time Frame:","2021"
"Not Seasonally Adjusted"
"Area","Year","Month","Labor Force","Employed","Unemployed","Area Rate","Massachusetts Rate"
"BARNSTABLE COUNTY","2021","January","106387","95169","11218","10.5","7.7"
"BARNSTABLE COUNTY","2021","February","106489","95534","10955","10.3","7.2"
"BARNSTABLE COUNTY","2021","March","107692","97713","9979","9.3","6.7"
"BARNSTABLE COUNTY","2021","April","109585","101542","8043","7.3","6.0"
"BARNSTABLE COUNTY","2021","May","112717","105764","6953","6.2","5.7"
"BARNSTABLE COUNTY","2021","June","118745","111764","6981","5.9","6.1"
"BARNSTABLE COUNTY","2021","July","124035","117651","6384","5.1","5.7"
"BARNSTABLE COUNTY","2021","August","121951","116135","5816","4.8","5.2"
"BARNSTABLE COUNTY","2021","September","112452","107239","5213","4.6","4.7"
"BARNSTABLE COUNTY","2021","October","109748","104847","4901","4.5","4.2"
"BARNSTABLE COUNTY","2021","November","107036","101997","5039","4.7","3.8"
"BARNSTABLE COUNTY","2021","December","106814","101384","5430","5.1","3.6"
"BARNSTABLE COUNTY","2021","Annual","111971","104728","7243","6.5","5.5"
"BERKSHIRE COUNTY","2021","January","61372","55743","5629","9.2","7.7"
"BERKSHIRE COUNTY","2021","February","61197","55790","5407","8.8","7.2"
"BERKSHIRE COUNTY","2021","March","61342","56259","5083","8.3","6.7"
"BERKSHIRE COUNTY","2021","April","61295","56827","4468","7.3","6.0"
"BERKSHIRE COUNTY","2021","May","61524","57507","4017","6.5","5.7"
"BERKSHIRE COUNTY","2021","June","62986","58680","4306","6.8","6.1"
"BERKSHIRE COUNTY","2021","July","64592","60630","3962","6.1","5.7"
"BERKSHIRE COUNTY","2021","August","63602","60021","3581","5.6","5.2"
"BERKSHIRE COUNTY","2021","September","61456","58236","3220","5.2","4.7"
"BERKSHIRE COUNTY","2021","October","61459","58526","2933","4.8","4.2"
"BERKSHIRE COUNTY","2021","November","61299","58624","2675","4.4","3.8"
"BERKSHIRE COUNTY","2021","December","61855","59109","2746","4.4","3.6"
"BERKSHIRE COUNTY","2021","Annual","61998","57996","4002","6.5","5.5"
"BRISTOL COUNTY","2021","January","298618","272253","26365","8.8","7.7"
"BRISTOL COUNTY","2021","February","298357","273322","25035","8.4","7.2"
"BRISTOL COUNTY","2021","March","298712","275493","23219","7.8","6.7"
"BRISTOL COUNTY","2021","April","298648","278584","20064","6.7","6.0"
"BRISTOL COUNTY","2021","May","298295","279749","18546","6.2","5.7"
"BRISTOL COUNTY","2021","June","301729","281600","20129","6.7","6.1"
"BRISTOL COUNTY","2021","July","301127","281848","19279","6.4","5.7"
"BRISTOL COUNTY","2021","August","299757","282156","17601","5.9","5.2"
"BRISTOL COUNTY","2021","September","296493","280974","15519","5.2","4.7"
"BRISTOL COUNTY","2021","October","297045","282908","14137","4.8","4.2"
"BRISTOL COUNTY","2021","November","299268","286287","12981","4.3","3.8"
"BRISTOL COUNTY","2021","December","298026","284901","13125","4.4","3.6"
"BRISTOL COUNTY","2021","Annual","298839","280006","18833","6.3","5.5"
"DUKES COUNTY","2021","January","8336","7348","988","11.9","7.7"
"DUKES COUNTY","2021","February","8430","7441","989","11.7","7.2"
"DUKES COUNTY","2021","March","8646","7750","896","10.4","6.7"
"DUKES COUNTY","2021","April","9013","8327","686","7.6","6.0"
"DUKES COUNTY","2021","May","9497","8933","564","5.9","5.7"
"DUKES COUNTY","2021","June","10939","10400","539","4.9","6.1"
"DUKES COUNTY","2021","July","12026","11555","471","3.9","5.7"
"DUKES COUNTY","2021","August","11610","11185","425","3.7","5.2"
"DUKES COUNTY","2021","September","10044","9651","393","3.9","4.7"
"DUKES COUNTY","2021","October","9312","8936","376","4.0","4.2"
"DUKES COUNTY","2021","November","8612","8163","449","5.2","3.8"
"DUKES COUNTY","2021","December","8781","8251","530","6.0","3.6"
"DUKES COUNTY","2021","Annual","9604","8995","609","6.3","5.5"
"ESSEX COUNTY","2021","January","422711","386545","36166","8.6","7.7"
"ESSEX COUNTY","2021","February","422860","388755","34105","8.1","7.2"
"ESSEX COUNTY","2021","March","423455","391626","31829","7.5","6.7"
"ESSEX COUNTY","2021","April","421869","393137","28732","6.8","6.0"
"ESSEX COUNTY","2021","May","420730","393815","26915","6.4","5.7"
"ESSEX COUNTY","2021","June","426810","397803","29007","6.8","6.1"
"ESSEX COUNTY","2021","July","427113","400596","26517","6.2","5.7"
"ESSEX COUNTY","2021","August","426193","402414","23779","5.6","5.2"
"ESSEX COUNTY","2021","September","417878","396770","21108","5.1","4.7"
"ESSEX COUNTY","2021","October","420469","401310","19159","4.6","4.2"
"ESSEX COUNTY","2021","November","422033","404910","17123","4.1","3.8"
"ESSEX COUNTY","2021","December","420391","404103","16288","3.9","3.6"
"ESSEX COUNTY","2021","Annual","422709","396815","25894","6.1","5.5"
"FRANKLIN COUNTY","2021","January","39873","37078","2795","7.0","7.7"
"FRANKLIN COUNTY","2021","February","39983","37372","2611","6.5","7.2"
"FRANKLIN COUNTY","2021","March","40180","37768","2412","6.0","6.7"
"FRANKLIN COUNTY","2021","April","40462","38348","2114","5.2","6.0"
"FRANKLIN COUNTY","2021","May","40390","38436","1954","4.8","5.7"
"FRANKLIN COUNTY","2021","June","40987","38881","2106","5.1","6.1"
"FRANKLIN COUNTY","2021","July","40995","38984","2011","4.9","5.7"
"FRANKLIN COUNTY","2021","August","40708","38867","1841","4.5","5.2"
"FRANKLIN COUNTY","2021","September","40044","38443","1601","4.0","4.7"
"FRANKLIN COUNTY","2021","October","40117","38629","1488","3.7","4.2"
"FRANKLIN COUNTY","2021","November","40034","38701","1333","3.3","3.8"
"FRANKLIN COUNTY","2021","December","40231","38920","1311","3.3","3.6"
"FRANKLIN COUNTY","2021","Annual","40334","38369","1965","4.9","5.5"
"HAMPDEN COUNTY","2021","January","226549","204827","21722","9.6","7.7"
"HAMPDEN COUNTY","2021","February","226650","206065","20585","9.1","7.2"
"HAMPDEN COUNTY","2021","March","226851","207616","19235","8.5","6.7"
"HAMPDEN COUNTY","2021","April","227098","208988","18110","8.0","6.0"
"HAMPDEN COUNTY","2021","May","226010","208896","17114","7.6","5.7"
"HAMPDEN COUNTY","2021","June","229223","210647","18576","8.1","6.1"
"HAMPDEN COUNTY","2021","July","227849","210501","17348","7.6","5.7"
"HAMPDEN COUNTY","2021","August","226129","210567","15562","6.9","5.2"
"HAMPDEN COUNTY","2021","September","225023","211073","13950","6.2","4.7"
"HAMPDEN COUNTY","2021","October","224048","211639","12409","5.5","4.2"
"HAMPDEN COUNTY","2021","November","224583","213469","11114","4.9","3.8"
"HAMPDEN COUNTY","2021","December","225003","214136","10867","4.8","3.6"
"HAMPDEN COUNTY","2021","Annual","226252","209869","16383","7.2","5.5"
"HAMPSHIRE COUNTY","2021","January","88913","83103","5810","6.5","7.7"
"HAMPSHIRE COUNTY","2021","February","88892","83609","5283","5.9","7.2"
"HAMPSHIRE COUNTY","2021","March","89019","84240","4779","5.4","6.7"
"HAMPSHIRE COUNTY","2021","April","88749","84806","3943","4.4","6.0"
"HAMPSHIRE COUNTY","2021","May","88474","84778","3696","4.2","5.7"
"HAMPSHIRE COUNTY","2021","June","89929","85505","4424","4.9","6.1"
"HAMPSHIRE COUNTY","2021","July","89901","85451","4450","4.9","5.7"
"HAMPSHIRE COUNTY","2021","August","89423","85464","3959","4.4","5.2"
"HAMPSHIRE COUNTY","2021","September","89106","85674","3432","3.9","4.7"
"HAMPSHIRE COUNTY","2021","October","89113","85892","3221","3.6","4.2"
"HAMPSHIRE COUNTY","2021","November","89391","86612","2779","3.1","3.8"
"HAMPSHIRE COUNTY","2021","December","89644","86897","2747","3.1","3.6"
"HAMPSHIRE COUNTY","2021","Annual","89213","85169","4044","4.5","5.5"
"MIDDLESEX COUNTY","2021","January","902326","846119","56207","6.2","7.7"
"MIDDLESEX COUNTY","2021","February","901538","849826","51712","5.7","7.2"
"MIDDLESEX COUNTY","2021","March","903514","855848","47666","5.3","6.7"
"MIDDLESEX COUNTY","2021","April","900634","857552","43082","4.8","6.0"
"MIDDLESEX COUNTY","2021","May","898351","857430","40921","4.6","5.7"
"MIDDLESEX COUNTY","2021","June","910392","865351","45041","4.9","6.1"
"MIDDLESEX COUNTY","2021","July","913638","870540","43098","4.7","5.7"
"MIDDLESEX COUNTY","2021","August","912283","873252","39031","4.3","5.2"
"MIDDLESEX COUNTY","2021","September","897661","862822","34839","3.9","4.7"
"MIDDLESEX COUNTY","2021","October","905283","873050","32233","3.6","4.2"
"MIDDLESEX COUNTY","2021","November","910195","882360","27835","3.1","3.8"
"MIDDLESEX COUNTY","2021","December","905974","880450","25524","2.8","3.6"
"MIDDLESEX COUNTY","2021","Annual","905149","864550","40599","4.5","5.5"
"NANTUCKET COUNTY","2021","January","6503","5399","1104","17.0","7.7"
"NANTUCKET COUNTY","2021","February","6585","5473","1112","16.9","7.2"
"NANTUCKET COUNTY","2021","March","6792","5801","991","14.6","6.7"
"NANTUCKET COUNTY","2021","April","6973","6360","613","8.8","6.0"
"NANTUCKET COUNTY","2021","May","7594","7138","456","6.0","5.7"
"NANTUCKET COUNTY","2021","June","8892","8465","427","4.8","6.1"
"NANTUCKET COUNTY","2021","July","10015","9633","382","3.8","5.7"
"NANTUCKET COUNTY","2021","August","9734","9388","346","3.6","5.2"
"NANTUCKET COUNTY","2021","September","8440","8144","296","3.5","4.7"
"NANTUCKET COUNTY","2021","October","7823","7533","290","3.7","4.2"
"NANTUCKET COUNTY","2021","November","6905","6562","343","5.0","3.8"
"NANTUCKET COUNTY","2021","December","6936","6391","545","7.9","3.6"
"NANTUCKET COUNTY","2021","Annual","7766","7191","575","7.4","5.5"
"NORFOLK COUNTY","2021","January","387362","361613","25749","6.6","7.7"
"NORFOLK COUNTY","2021","February","388153","363849","24304","6.3","7.2"
"NORFOLK COUNTY","2021","March","389490","366725","22765","5.8","6.7"
"NORFOLK COUNTY","2021","April","388207","367311","20896","5.4","6.0"
"NORFOLK COUNTY","2021","May","387157","367183","19974","5.2","5.7"
"NORFOLK COUNTY","2021","June","392215","370497","21718","5.5","6.1"
"NORFOLK COUNTY","2021","July","393632","372976","20656","5.2","5.7"
"NORFOLK COUNTY","2021","August","393055","374542","18513","4.7","5.2"
"NORFOLK COUNTY","2021","September","387530","370778","16752","4.3","4.7"
"NORFOLK COUNTY","2021","October","390447","375231","15216","3.9","4.2"
"NORFOLK COUNTY","2021","November","392741","379259","13482","3.4","3.8"
"NORFOLK COUNTY","2021","December","390672","378217","12455","3.2","3.6"
"NORFOLK COUNTY","2021","Annual","390055","370682","19373","5.0","5.5"
"PLYMOUTH COUNTY","2021","January","281997","258900","23097","8.2","7.7"
"PLYMOUTH COUNTY","2021","February","282503","260373","22130","7.8","7.2"
"PLYMOUTH COUNTY","2021","March","283013","262676","20337","7.2","6.7"
"PLYMOUTH COUNTY","2021","April","282427","264336","18091","6.4","6.0"
"PLYMOUTH COUNTY","2021","May","281597","264851","16746","5.9","5.7"
"PLYMOUTH COUNTY","2021","June","285531","267417","18114","6.3","6.1"
"PLYMOUTH COUNTY","2021","July","286878","269427","17451","6.1","5.7"
"PLYMOUTH COUNTY","2021","August","286378","270647","15731","5.5","5.2"
"PLYMOUTH COUNTY","2021","September","280463","266671","13792","4.9","4.7"
"PLYMOUTH COUNTY","2021","October","281886","269451","12435","4.4","4.2"
"PLYMOUTH COUNTY","2021","November","283448","272266","11182","3.9","3.8"
"PLYMOUTH COUNTY","2021","December","282408","271373","11035","3.9","3.6"
"PLYMOUTH COUNTY","2021","Annual","283210","266532","16678","5.9","5.5"
"SUFFOLK COUNTY","2021","January","452035","416156","35879","7.9","7.7"
"SUFFOLK COUNTY","2021","February","451436","418727","32709","7.2","7.2"
"SUFFOLK COUNTY","2021","March","451699","422018","29681","6.6","6.7"
"SUFFOLK COUNTY","2021","April","450500","422536","27964","6.2","6.0"
"SUFFOLK COUNTY","2021","May","449648","422273","27375","6.1","5.7"
"SUFFOLK COUNTY","2021","June","456319","426184","30135","6.6","6.1"
"SUFFOLK COUNTY","2021","July","457097","429155","27942","6.1","5.7"
"SUFFOLK COUNTY","2021","August","455710","430978","24732","5.4","5.2"
"SUFFOLK COUNTY","2021","September","449049","426539","22510","5.0","4.7"
"SUFFOLK COUNTY","2021","October","451540","431757","19783","4.4","4.2"
"SUFFOLK COUNTY","2021","November","453598","436356","17242","3.8","3.8"
"SUFFOLK COUNTY","2021","December","451068","435196","15872","3.5","3.6"
"SUFFOLK COUNTY","2021","Annual","452475","426490","25985","5.7","5.5"
